recipe_id,ingredient_name
142,butter bean
142,avocado
142,spring onions
142,juice
142,cherry tomatoes
143,butter
143,olive oil
143,celeriac
143,chunky chips
143,hazelnuts
143,kale
143,red wine vinegar
144,porcini mushrooms
144,olive oil
144,pickling onions
144,mixed mushrooms
144,garlic
144,dry red wine
144,tomato purée
144,red wine vinegar
144,bay
144,allspice berries
144,1 large or 2 small cinnamon sticks
144,4 whole cloves
144,black peppercorns
144,tomatoes
144,kalamata black olive
144,greek clear honey
144,chopped flat-leaf parsley
144,kefalotyri/ pecorino
144,horseradish mash
145,heads
145,carrot
145,tub  hummus
145,black olives
146,olive oil
146,onions
146,celery sticks
146,carrot
146,potato
146,bay
146,tomato purée
146,sugar
146,red
146,chopped tomatoes
146,passata
146,vegetable stock cubes
146,milk
147,pork mince
147,breadcrumbs
147,caraway seeds
147,egg
147,cumin
147,carrot
147,olive oil
147,good chunk ginger
147,passata
147,chopped tomatoes
147,sugar
147,feta cheese
147,parsley
148,lean pork shoulder
148,olive oil
148,oregano
148,lemon
148,hot paprika
148,fat-free yogurt
148,garlic clove
148,cucumber
148,red peppers
148,little gem lettuce leaves
148,chilli sauce
148,flatbreads
149,gin
149,lemon juice
149,sugar syrup
149,ice
149,sparkling water
149,lemon slice
150,25cm-long piece
150,rapeseed oil
150,low-fat
150,horseradish sauce
150,heaped tbsp
150,skinless haddock loin
150,egg
150,panko
150,paprika
150,thin cucumber slices
150,rocket
150,lemon wedges
151,unsalted butter
151,caster sugar
151,self-raising flour
151,powder
151,eggs
151,vanilla bean paste
151,lemon
151,milk
151,salt
151,butter
151,icing sugar
151,vanilla extract
151,milk
151,dark chocolate
151,double cream
151,mini chocolate eggs
152,line-caught tuna
152,olive oil
152,limes
152,cumin seeds
152,coriander seeds
152,chilli flakes
152,ripe avocados
152,coriander
152,the pickled jalapeño chillies
152,8small soft flour tacos
152,vegetable oil
152,pickled jalapeño chillies
152,pomegranate seeds
152,1bunch coriander
152,shredded spring onions
152,limes
153,fine sea salt
153,vinegar
153,cornflour
154,beetroots
154,puy lentils
154,spring onions
154,apple core
154,radicchio leaves
154,mackerel
154,1  lemon
154,pot  soured cream
154,creamed horseradish
155,cherry tomatoes
155,mixed bean salad
155,baby spinach
155,eggs
155,thinly sliced smoked ham
155,rye bread
156,salmon fillet
156,sundried tomatoes
156,black olives
156,basil
156,olive oil
157,baby carrots
157,olive oil
157,thyme sprigs
157,butter
157,honey
157,oats
157,sunflower seeds
157,hazelnuts
157,butter
157,thin rounds
157,mimolette
158,ice
158,mescal
158,red vermouth
158,campari
158,orange slice
159,small chunks
159,small chunks
159,red onion
159,mushroom
159,cherry tomatoes
159,garlic
159,olive oil
159,paprika
159,chilli flakes
159,bone-in  chicken thighs skin
159,couscous
159,parsley
159,drizzle sweet chilli sauce
160,rapeseed oil
160,leek well washed and thinly sliced
160,baby spinach
160,eggs
160,dill stalks
160,natural bio-yogurt
160,feta
160,garlic clove
160,balsamic vinegar
160,tahini
160,celery sticks
160,carrots
160,very small  red onion
160,lettuces
160,black kalamata olive
161,dark chocolate
161,free range organic  egg yolks
161,caster sugar
161,carton double cream
161,milk
161,white chocolate
161,pompadour ice cream fan  wafers
161,just-ripe  mango
161,almond flakes
162,new potato
162,garlic clove
162,natural yogurt
162,white wine vinegar
162,caster sugar
162,spring onions
162,mint
163,a little plain flour
163,puff
163,onion chutney
163,harissa
163,butternut
163,feta cheese
163,pine nut
163,mint leaves
163,rocket
164,olive oil
164,onion
164,curry powder
164,mango chutney
164,cooked chicken breast
164,soured cream
164,butter
164,shortcrust pastry
164,flour
164,egg
164,flaked almonds
165,ripe avocados
165,olive oil
165,plum tomato
165,sundried tomatoes
165,black olive
165,spring onions
165,capers
165,each freshly squeezed orange lemon
165,cider vinegar
165,caster sugar
165,torn basil
166,olive oil
166,button mushroom
166,garlic clove
166,1sprig thyme
166,dry sherry
166,sherry
166,beef stock
166,crème fraîche
166,grain  mustard
166,chopped  flatleaf parsley
167,golden caster sugar
167,vanilla pod seeds
167,pots natural yogurt
167,pink grapefruit
167,clear honey
167,mint
168,sweet potatoes
168,red onion
168,coriander
